Date Stocked,Location stocked,Catchment,Species stocked,Number stocked
4/02/2012,Dumaresq River,Border Rivers,Golden Perch,3100
4/02/2012,Dumaresq River,Border Rivers,Murray Cod,700
4/02/2012,Wuruma Dam,Burnett,Golden Perch,60000
4/02/2012,Goondiwindi (Hilton) Weir,Border Rivers,Murray Cod,350
4/02/2012,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,30000
4/02/2012,MacIntyre Brook,Border Rivers,Murray Cod,5000
5/02/2012,Oakey Town Weir,Condamine and Balonne,Golden Perch,15000
5/02/2012,Kings Creek,Condamine and Balonne,Golden Perch,4347
5/02/2012,Kings Creek,Condamine and Balonne,Murray Cod,1298
5/02/2012,Severn River,Border Rivers,Golden Perch,3750
5/02/2012,Severn River,Border Rivers,Murray Cod,2150
5/02/2012,Severn River,Border Rivers,Silver Perch,3438
5/02/2012,Oakey Creek,Condamine and Balonne,Murray Cod,1500
5/02/2012,Talgai Weir,Condamine and Balonne,Murray Cod,2000
5/02/2012,Oakey Creek,Condamine and Balonne,Silver Perch,2000
5/02/2012,Condamine River (Upper),Condamine and Balonne,Golden Perch,8021
5/02/2012,Talgai Weir,Condamine and Balonne,Golden Perch,10000
6/02/2012,Glenlyon Dam,Border Rivers,Golden Perch,24000
7/02/2012,Pioneer River,Pioneer,Barramundi,714
11/02/2012,Ben Anderson Barrage,Burnett,Saratoga,36
15/02/2012,Lake Belmore,Gulf,Barramundi,11800
18/02/2012,Wuruma Dam,Burnett,Australian Bass,16500
19/02/2012,Albert River (Gulf),Gulf,Barramundi,10000
20/02/2012,Leslie Dam,Condamine and Balonne,Golden Perch,60000
20/02/2012,Leslie Dam,Condamine and Balonne,Golden Perch,30000
23/02/2012,Lower Fitzroy River,Fitzroy,Barramundi,5000
24/02/2012,Pukallus Weir,Brisbane,Golden Perch,5000
24/02/2012,Pukallus Weir,Brisbane,Silver Perch,5000
24/02/2012,Pukallus Weir,Brisbane,Australian Bass,10000
25/02/2012,Theresa Creek Dam,Fitzroy,Saratoga,47
26/02/2012,Jones Weir,Burnett,Golden Perch,7500
26/02/2012,Jones Weir,Burnett,Australian Bass,7500
27/02/2012,Leslie Dam,Condamine and Balonne,Golden Perch,38000
27/02/2012,Connolly Dam,Condamine and Balonne,Golden Perch,12000
27/02/2012,Chinchilla Weir,Condamine and Balonne,Murray Cod,1190
27/02/2012,Charleys Creek,Condamine and Balonne,Murray Cod,239
27/02/2012,Condamine River (near Chinchilla),Condamine and Balonne,Murray Cod,238
28/02/2012,Bjelke Peterson Dam,Burnett,Australian Bass,60000
28/02/2012,Glenlyon Dam,Border Rivers,Murray Cod,6750
28/02/2012,Bjelke Peterson Dam,Burnett,Golden Perch,75000
1/03/2012,Glenlyon Dam,Border Rivers,Golden Perch,4750
1/03/2012,Lake Awoonga,Gladstone,Barramundi,120000
2/03/2012,Lake Awoonga,Gladstone,Barramundi,60000
3/03/2012,Langlo River,Warrego,Golden Perch,2000
3/03/2012,Warrego River/Weir,Warrego,Golden Perch,38000
4/03/2012,Coolmunda Dam,Border Rivers,Golden Perch,76275
4/03/2012,Coolmunda Dam,Border Rivers,Silver Perch,8000
4/03/2012,Coolmunda Dam,Border Rivers,Murray Cod,5000
4/03/2012,MacIntyre Brook,Border Rivers,Golden Perch,10000
7/03/2012,Chinchilla Weir,Condamine and Balonne,Golden Perch,23250
7/03/2012,Lower Fitzroy River,Fitzroy,Barramundi,4300
10/03/2012,Beardmore Dam,Condamine and Balonne,Murray Cod,8000
10/03/2012,Beardmore Dam,Condamine and Balonne,Golden Perch,70000
10/03/2012,Beardmore Dam,Condamine and Balonne,Golden Perch,50000
10/03/2012,Beardmore Dam,Condamine and Balonne,Murray Cod,8000
11/03/2012,Balonne River,Condamine and Balonne,Murray Cod,75
11/03/2012,Balonne River,Condamine and Balonne,Golden Perch,25000
17/03/2012,Mount Morgan Big Dam,Fitzroy,Golden Perch,7000
17/03/2012,Callide Dam,Fitzroy,Golden Perch,15092
17/03/2012,Chinchilla Weir,Condamine and Balonne,Golden Perch,345
21/03/2012,Oakey Creek,Condamine and Balonne,Silver Perch,2000
24/03/2012,Dawson River,Fitzroy,Golden Perch,22400
24/03/2012,Glebe Weir,Fitzroy,Golden Perch,5600
29/03/2012,Fairbairn Dam,Fitzroy,Golden Perch,68000
30/03/2012,Lake Awoonga,Gladstone,Barramundi,107000
31/03/2012,Kings Creek,Condamine and Balonne,Silver Perch,1087
31/03/2012,Talgai Weir,Condamine and Balonne,Silver Perch,1087
31/03/2012,Claude Wharton Weir,Burnett,Golden Perch,60606
31/03/2012,Leslie Dam,Condamine and Balonne,Murray Cod,11667
31/03/2012,Leslie Dam,Condamine and Balonne,Silver Perch,20000
31/03/2012,Leslie Dam,Condamine and Balonne,Golden Perch,97089
31/03/2012,Cressbrook Dam,Brisbane,Australian Bass,30000
31/03/2012,Leslie Dam,Condamine and Balonne,Golden Perch,74056
31/03/2012,Cooby Dam,Condamine and Balonne,Golden Perch,25000
1/04/2012,Neville Hewitt Weir,Fitzroy,Golden Perch,16000
1/04/2012,Moura Weir,Fitzroy,Golden Perch,30000
3/04/2012,Lake MacDonald,Mary,Golden Perch,6060
1/05/2012,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,4710
